id	name	dbpedia_url	wiki_url	img_url
1	Dragonfly in Amber	http://dbpedia.org/resource/Dragonfly_in_Amber	https://en.wikipedia.org/wiki/Dragonfly_in_Amber	https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Gabaldon-Dragonfly_in_Amber-1992.jpg/220px-Gabaldon-Dragonfly_in_Amber-1992.jpg
2	Drums of Autumn	http://dbpedia.org/resource/Drums_of_Autumn	https://en.wikipedia.org/wiki/Drums_of_Autumn	https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Gabaldon-Drums_of_Autumn-1996.jpg/220px-Gabaldon-Drums_of_Autumn-1996.jpg
3	Snow Crash	http://dbpedia.org/resource/Snow_Crash	https://en.wikipedia.org/wiki/Snow_Crash	https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Snowcrash.jpg/220px-Snowcrash.jpg
4	The Ponder Heart	http://dbpedia.org/resource/The_Ponder_Heart	https://en.wikipedia.org/wiki/The_Ponder_Heart	https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/The_Ponder_Heart.jpg/220px-The_Ponder_Heart.jpg
5	The Shadow of the Torturer	http://dbpedia.org/resource/The_Shadow_of_the_Torturer	https://en.wikipedia.org/wiki/The_Shadow_of_the_Torturer	https://upload.wikimedia.org/wikipedia/en/7/7f/Shadow_of_the_torturer.jpg
6	The Story of Little Black Sambo	http://dbpedia.org/resource/The_Story_of_Little_Black_Sambo	https://en.wikipedia.org/wiki/The_Story_of_Little_Black_Sambo	https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/The_Story_of_Little_Black_Sambo_1899_First_Edition_Cover.jpg/220px-The_Story_of_Little_Black_Sambo_1899_First_Edition_Cover.jpg
7	Lirael	http://dbpedia.org/resource/Lirael	https://en.wikipedia.org/wiki/Lirael	https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Lirael.jpg/220px-Lirael.jpg
8	Many Waters	http://dbpedia.org/resource/Many_Waters	https://en.wikipedia.org/wiki/Many_Waters	https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/ManyWatersCover400px.jpg/220px-ManyWatersCover400px.jpg
9	Sabriel	http://dbpedia.org/resource/Sabriel	https://en.wikipedia.org/wiki/Sabriel	https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Sabriel_Book_Cover.jpg/220px-Sabriel_Book_Cover.jpg
10	http://dbpedia.org/resource/Unicorn_Variations	https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Roger_Zelazny_Unicorn_Variations.png/220px-Roger_Zelazny_Unicorn_Variations.png	https://en.wikipedia.org/wiki/Unicorn_Variations	
12	Fancy Nancy	http://dbpedia.org/resource/Fancy_Nancy	https://en.wikipedia.org/wiki/Fancy_Nancy	https://upload.wikimedia.org/wikipedia/en/thumb/d/db/FancyNancy.jpg/200px-FancyNancy.jpg
13	The Frog Prince, Continued	http://dbpedia.org/resource/The_Frog_Prince,_Continued	https://en.wikipedia.org/wiki/The_Frog_Prince,_Continued	https://upload.wikimedia.org/wikipedia/en/thumb/5/50/The_Frog_Prince%2C_Continued.jpg/220px-The_Frog_Prince%2C_Continued.jpg
14	The Man Who Walked Between the Towers	http://dbpedia.org/resource/The_Man_Who_Walked_Between_the_Towers	https://en.wikipedia.org/wiki/The_Man_Who_Walked_Between_the_Towers	https://upload.wikimedia.org/wikipedia/en/thumb/8/89/CM_between_towers.jpg/220px-CM_between_towers.jpg
15	The Named	http://dbpedia.org/resource/The_Named	https://en.wikipedia.org/wiki/The_Named	https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/The_Named.jpg/220px-The_Named.jpg
16	The Eagle of the Ninth	http://dbpedia.org/resource/The_Eagle_of_the_Ninth	https://en.wikipedia.org/wiki/The_Eagle_of_the_Ninth	https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Eagle_of_the_Ninth_cover.jpg/220px-Eagle_of_the_Ninth_cover.jpg
