artistID	name_artist	song	link_song
2	Diary of Dreams	She and Her Darkness	https://www.youtube.com/watch?v=6WD2_Nhc2I0
2	Diary of Dreams	Endless Nights	https://www.youtube.com/watch?v=dlSWykvqM6Y
2	Diary of Dreams	Sinferno	https://www.youtube.com/watch?v=JEi0Iy226es
2	Diary of Dreams	Epicon	https://www.youtube.com/watch?v=xMDnA67fFV4
2	Diary of Dreams	The Secret	https://www.youtube.com/watch?v=HzVZhovdH9o
6	Moonspell	Alma Mater	https://www.youtube.com/watch?v=2rRgr5SU8eE
6	Moonspell	Opium	https://www.youtube.com/watch?v=XoooX3OVGoI
6	Moonspell	Scorpion Flower	https://www.youtube.com/watch?v=egK4GnkruYA
6	Moonspell	Vampiria	https://www.youtube.com/watch?v=0VMBGPxqv2Y
6	Moonspell	Luna	https://www.youtube.com/watch?v=HFGo7Wrj6YQ
7	Marilyn Manson	This Is The New S**t	https://www.youtube.com/watch?v=4kQMDSw3Aqo
7	Marilyn Manson	Sweet Dreams (Are Made Of This)	https://www.youtube.com/watch?v=QUvVdTlA23w
7	Marilyn Manson	The Fight Song	https://www.youtube.com/watch?v=9GFI6Rf-IkI
7	Marilyn Manson	Tainted Love	https://www.youtube.com/watch?v=MpcJbUoQ_KI
7	Marilyn Manson	The Beautiful People	https://www.youtube.com/watch?v=Ypkv0HeUvTc
8	DIR EN GREY	予感 (YOKAN)	https://www.youtube.com/watch?v=BnblHkBqnGk
8	DIR EN GREY	ゆらめき (YURAMEKI)	https://www.youtube.com/watch?v=GnYoX0xx81Q
8	DIR EN GREY	Cage	https://www.youtube.com/watch?v=Xfpwxf7Kuus
8	DIR EN GREY	Ranunculus	https://www.youtube.com/watch?v=pFkUYL7j0xA
8	DIR EN GREY	アクロの丘 (Akuro No Oka)	https://www.youtube.com/watch?v=34w0ydFcMTY
9	Combichrist	This S*It Will Fcuk You Up	https://www.youtube.com/watch?v=RibfuH4yF04
9	Combichrist	Hate Like Me	https://www.youtube.com/watch?v=cGY6M59IiS0
9	Combichrist	Never Surrender	https://www.youtube.com/watch?v=_9J8ccza1OI
9	Combichrist	Throat Full Of Glass	https://www.youtube.com/watch?v=qAOjPsvE8mc
9	Combichrist	Compliance	https://www.youtube.com/watch?v=3UDa6o6zsUE
10	Grendel	Soilbleed (V.3)	https://www.youtube.com/watch?v=mph2mZReGHk
10	Grendel	Dirty	https://www.youtube.com/watch?v=jOakrCsoFmI
10	Grendel	Timewave : Zero	https://www.youtube.com/watch?v=b-V-xqf3LGs
10	Grendel	Hate This	https://www.youtube.com/watch?v=0k-QHA-QAMY
10	Grendel	Harsh Generation	https://www.youtube.com/watch?v=VyZEAfvL6HY
11	Agonoize	For the Sick and Disturbed	https://www.youtube.com/watch?v=gxaHw3gYi2s
11	Agonoize	Staatsfeind	https://www.youtube.com/watch?v=5JPX9ATN1eE
11	Agonoize	Glaubenskrieger	https://www.youtube.com/watch?v=c6IHKjBIOpU
11	Agonoize	Koprolalie	https://www.youtube.com/watch?v=IZztxKt6Sjg
11	Agonoize	Bis das Blut gefriert	https://www.youtube.com/watch?v=QF6jPSMTuag
12	Behemoth	Ov Fire And The Void	https://www.youtube.com/watch?v=HCysz_0Hicg
12	Behemoth	Conquer All	https://www.youtube.com/watch?v=38j-i8jH7xk
12	Behemoth	Blow Your Trumpets Gabriel	https://www.youtube.com/watch?v=Czx-OIyrQwQ
12	Behemoth	Bartzabel	https://www.youtube.com/watch?v=OvwGqHHRGuw
