artistID	text
1	better than lady gaga,gothic,j-rock,japanese,jrock,visual kei,weeabo
2	ambient,dark,darkwave,electronic,german,gothic,gothic rock,industrial,seen live,true goth emo,vocal
3	black metal,norsk arysk metal,norwegian black metal,saxophones,true norwegian black metal,very kvlt
4	bazarov,gothic,gothic japanese,gothic metal,j-rock,japanese,metal,rock,visual kei
5	covers,darkwave,deathrock,gothic,gothic rock
6	awesome,bazarov,best song ever,black metal,dark,dark metal,doom metal,for work,fucking awesome,gothic,gothic metal,gothic rock,great,instrumental,portuguese,seen live
7	00s,2000's,90s,addictive,alternative,alternative metal,alternative rock,amazing,american,analrape,animals,as,attitude,awesome,cartoon metal,childhood,cover,covers,covers that are actually good,covers that are far far better than the original,dark,depression,emo,favorite,film music composer,fucking awesome,glam rock,gorgeous,gothic,gothic metal,gothic rock,great,great covers,great lyrics,guerilla,halloween,hard rock,heavy metal,horror rock,i fucking love this song,industrial,industrial metal,industrial pop,industrial rock,instrumental,intense-mutha-fuckin-power-violence,legal,male vocalists,manson,marilyn manson,masterpiece,me likey,melancholic,metal,nightmare before christmas,nu metal,other great tracks,ponyrape,rock,rock me babe,screamo,seen live,sexy,shit,shock rock,shockrock,so sad yet so beautiful,soundtrack,stoner rock,tags,trashbag filled with vomit,ultimate favorite,usa
8	dark,favorites,hall,hard rock - metal,j-rock,japanese,jrock,metal,rock,visual kei,weeabo
9	aggrotech,alpha quadrant,combichrist,dark electro,dark techno,ebm,electro,electro-industrial,electronic,futuremelon,helltrance,industrial,industrial dance,industrial techno,prejebeno,remix,seen live,tbm,techno,terrorbanana,ultimate favorite,war
10	dark electro,dutch,ebm,electronic,harsh ebm,industrial,melodic death metal,terrorbanana
11	dark electro,ebm,electronic,german,industrial,rave,terrorbanana
12	black metal,black metal cabeza,blackened death metal,brutal death metal,death metal,death-black metal,extreme metal,pldm,polish,polish death metal,technical death metal
13	aggrotech,dark electro,ebm,electro-industrial,electronic,friends,harsh ebm,industrial
14	aggrotech,dark electro,ebm,harsh ebm,industrial
15	atmospheric black metal,awesome,black metal,black metal cabeza,close your eyes and imagine,dark metal,death metal,extreme metal,halloween,melodic black metal,melodic heavy metal,metal,nordic metal,norwegian black metal,norwegian metal,prejebeno,symphonic,symphonic black metal,symphonic metal,true norwegian black metal
16	covers,dark wave,darkwave,electronic,goth,gothic,gothic rock,heavy,industrial,sexy songs,weird
17	aggrotech,dark electro,ebm,harsh ebm,heavy,industrial,terrorbanana
18	covers,dark wave,darkwave,ebm,electro pop,electronic,electronica,goth,gothic,gothic rock,industrial,synthpop,ultimate favorite
19	dark electro,darkwave,ebm,electro-industrial,electronic,favorite,german,industrial,ogonj,ohm sweet ohm,oni pout,perfect,po-kraftwerkski,remix,ultimate favorite
20	black metal,metal,norwegian black metal,symphonic black metal,symphonic metal
22	ebm,electro-industrial,industrial,noise,powernoise
23	black metal,cyber metal,electronic,industrial,industrial black metal,industrial metal,just could not get any better,prejebeno
24	approfondire,ebm,electro-industrial,industrial,rave,terrorbanana
25	black gay,black metal,cover,death metal,gothic,gothic metal,great intro,melodic black metal,metal,symphonic black metal,uk,who is goth lol
26	dark electro,electronic,favourites,french,friends,harsh ebm,industrial,melancholy,sad,seen live,toured with
27	avant-garde,cover,covers,ebm,electro,electronic,experimental,favorites,german,industrial,ultimate favorite
28	black metal,black metal cabeza,killer drums,metal,norwegian black metal,satanic metal,seen live,true black metal,true norwegian black metal,very kvlt
29	dark electro,darkwave,ebm,electronic,industrial,noise,spanish
30	80s,90s,absolute disco,alternative,ambient,and one,beat,dance,dark,darkwave,drum,ebm,electronic,ethnic,experimental,futurepop,german,gothic,industrial,loveliness,metal,my fav fun,nejlepsi,new romantic,new wave,newman-esque,ogonj,ohm sweet ohm,oni pout,po-andoneovski,po-kraftwerkski,psychedelic,scholes song,seen live,sexy,sexy songs,synth,synth pop,synthpop,the beowulfs choice,touching song,trance,true synthpop
31	aggrotech,dark,dark electro,ebm,industrial,seen live,terrorbanana
32	80s,black metal,darkwave,ebm,electronic,electronica,favorites,futurepop,futurepop anthem,industrial,new wave,prejebeno,seen live,succulent 3s,swedish,synth pop,synthpop,ultimate favorite
33	dark electro
34	ebm,electronic,favorites,futurepop,futurepop anthem,industrial,norwegian,synthpop,ultimate favorite
35	industrial,noise,powernoise
36	addictive,awesome,ebm,electronic,electronica,german,industrial,industrial metal,industrial rock,interesting,kmfdm,music for tossing furniture around,rock hard,take your shirt off and dance to it,ultimate favorite,ultra heavy beat
37	aggrotech,darkwave,ebm,german,industrial
38	black metal,dark electro,dawn of ashes -angels,deathcore,ebm,harsh ebm,industrial,post-industrial,terror ebm,terrorbanana
39	cover,darkwave,electronic,german,gothic,instrumental,makes me wanna dance,medieval,poem
40	alternative,american artists,berep shows the love,bouncy,catchy,dance,electronic,gossip girl,indi,indie,indie rock,must see live before dying,other great tracks,seen live,smash it up,songs to download later,the faint,witch-clash
41	aggrotech,dark,dark electro,ebm,industrial
43	ebm,electronic,industrial,noise,powernoise
44	darkwave,ebm,favorite songs,german,gothic,industrial,remix,seen live
45	alternative,electronic,electronica,experimental,i want to dance in my underwear,industrial,industrial jungle pussy punk,live,magnificently mediocre,metal,mindless self indulgence,punk,rock,seen live,synthpunk,the fucking best,ultimate favorite
46	ballet,christmas blend,classical,gossip girl,inspiration,instrumental,romantic,tchaikovsky,the best classical opera and film scores,top100
47	avant-garde,awesome,awesome songs,black metal,dark,epic,extreme black metal,favourite songs,fucking awesome,great,killer drums,killer riffing,masterpiece,melodic black metal,metal,norway,norwegian,norwegian black metal,play this loud enough to raise the dead,raw black metal,sophisticated black metal art,true norwegian black metal,very kvlt
48	french,symphonic black metal
49	dark electro,ebm,electro,electro-industrial,electronic,industrial,seen live
50	ebm,gothic,gothic metal,industrial,industrial metal
51	00s,1008,1981,1981 songs,1982 songs,1983 songs,1990's,1990s,1995,2008,80's,80s,80s pop,80s stuff,90's,90s,absolute disco,acoustic,acoustic rock,all time faves,alternative,alternative rock,amazing vocal,ambient,amelia,anthemic,artists,atmospheric,awesome,b-side,b-sides,babs,bad day,bad days,bad girls,ballad,beautiful,best,best songs ever,blue songs,bobbi,bond,brit pop,british,british artists,britpop,caleb,chilled,chillout,classic rock,clint,club,collectables,cover,covers,dance,dance-pop,danny,dd,demo,dramatic,drugs,dub,duran,duran duran,duran my fave from wedding album,edit,eighties,electro-pop,electronic,electronica,energetic,epic,erotic,ethereal,experimental,fav artists,fav songs,faves,favorite tracks,favorites,favourite songs,favourites,fucking amazing,government,grunge,guilty pleasure,guilty pleasures,hit,hot,house,hypnotic,i want back to the 80s,indie,indie pop,indie rock,instrumental,james bond,jason,johnny,kon,leftovergrooves,legend,life on mars,live,love,love at first listen,love duran jt,love it,loved tracks,madonna,majestic,melancholic,mellow,mix,my choice,my fav fun,my favorites,my pleasuredome,namora,nejlepsi,nelly furtado,new romantic,new romantic songs,new romantics,new wave,new wave and eighties,new wave artists,new wave songs,nineties,nostalgia,numbers,ogonj,old school,perfect,po-andoneovski,political,pop,pop rock,post-punk,rachel,rain,reasons to love 80s,religion,remix,retro,rock,romantic,roxy,roy,runaways,scholes song,scifi,seen in concert,seen live,sex,sexy,simon,singer-songwriter,single,slowies,song with samples,songs to feel happy to,soundtrack,stylish,synth pop,synth-pop,synthpop,tag your songs properly,tara,teddy,tender,the beowulfs choice,the best,titans,tony,touching song,tula,u2,uk,unsure,wally,weirdness,x-men,zadrotstvo
52	alsolike,btvs,cars,chill,chillout,cities,dance,downtempo,drug music,easy listening,electronic,favorite artist,female vocalists,female vovalists,hip-hop,lounge,my fav songs,pop,relax,science,seen live,sexy,soundtrack,the end,transport,trip-hop,vocal
53	80s,90s,aana,air,alsolike,alternative,amazing,ambient,atmospheric,autumn,beautiful,beautiful music,brilliant,chillout,classic rock,cool,curious about,dance,dark,demo,downbeat,downtempo,dream,dream pop,dreamlike,dreamy,dub,effy,electro,electronic,electronica,eletronic,english,european,experimental,favorite artist,favourite songs,favourites,france,french,friends,gay,hypnotic,indie,indie pop,indietronica,instrumental,jazz,just chillin,lounge,love,love it,meditative,mellow,music for my soul,my electro feelings,pastel,piano,relax,relaxing,sad,seen live,sex music,sexy,soundtrack,sweet,sweet electronic,trip-hop,veronica mars,vocal
54	00s,90s,aana,alsolike,alternative,ambient,belgian,chill,chillout,cities,downtempo,dream pop,dreamy,electronic,electronica,ethereal,favorite,favorite artist,female vocalist,female vocalists,indie,lounge,mellow,my electro feelings,pop,post modern,relax,remember him,remix,rock,seen live,sexy,trip hop,trip-hop,vocal
