artistID	name_artist	song	link_song
2	Diary of Dreams	Grau im Licht	https://i.scdn.co/image/ab67616d0000b273c71cf317380031192960d84e
2	Diary of Dreams	The Anatomy of Silence	https://i.scdn.co/image/ab67616d0000b273cbbfb90767985794cadf75fd
2	Diary of Dreams	Hell in Eden	https://i.scdn.co/image/ab67616d0000b273fdf52a1d498f5ab400e74982
2	Diary of Dreams	Melancholin	https://i.scdn.co/image/ab67616d0000b2738db7cad2656776380985df18
2	Diary of Dreams	Freak Perfume	https://i.scdn.co/image/ab67616d0000b27323654b8028709dfac6d5140f
6	Moonspell	Memorial (Bonus Track Edition)	https://i.scdn.co/image/ab67616d0000b273d779a4c2d4f6ac5af85036b7
6	Moonspell	Irreligious	https://i.scdn.co/image/ab67616d0000b2733368496d573ad0f4691e7385
6	Moonspell	Extinct (Deluxe Version)	https://i.scdn.co/image/ab67616d0000b273fa3fa15853e5e875bc6832dd
6	Moonspell	Wolfheart	https://i.scdn.co/image/ab67616d0000b273b01cdea274dd654d0aabb17b
6	Moonspell	Night Eternal (Extended Version)	https://i.scdn.co/image/ab67616d0000b2736dc8fe3a93371e6c63b106cf
7	Marilyn Manson	Smells Like Children	https://i.scdn.co/image/ab67616d0000b273e79c8fbf147c2875a2542993
7	Marilyn Manson	Lest We Forget - The Best Of	https://i.scdn.co/image/ab67616d0000b273eabdb4fe7c535b5f40171eb4
7	Marilyn Manson	Antichrist Superstar	https://i.scdn.co/image/ab67616d0000b273c61d3a663bd18fe8cd97c947
7	Marilyn Manson	Mechanical Animals	https://i.scdn.co/image/ab67616d0000b27348f31f0d658ebfb9a049769e
7	Marilyn Manson	Holy Wood	https://i.scdn.co/image/ab67616d0000b27397ce10b4cfeb26d2a93cc409
8	DIR EN GREY	VESTIGE OF SCRATCHES (Disc 3)	https://i.scdn.co/image/ab67616d0000b273ed023acd23c0b6badc636e3a
8	DIR EN GREY	VULGAR	https://i.scdn.co/image/ab67616d0000b2732f220aa4d6a7edbccadb7f0f
8	DIR EN GREY	Withering To Death	https://i.scdn.co/image/ab67616d0000b2734fc7eda5a8147063818d7e78
8	DIR EN GREY	The Insulated World	https://i.scdn.co/image/ab67616d0000b27388dd313cd5addd4bc5a80e99
8	DIR EN GREY	GAUZE	https://i.scdn.co/image/ab67616d0000b2736b06c4b9c651047d154e2fea
9	Combichrist	Everybody Hates You	https://i.scdn.co/image/ab67616d0000b2737ce5647f62217d9968b98eb2
9	Combichrist	Making Monsters	https://i.scdn.co/image/ab67616d0000b273866d6a9b095fb9afc2557ca3
9	Combichrist	No Redemption (Official DMC Devil May Cry Soundtrack)	https://i.scdn.co/image/ab67616d0000b273ac7f67c8dd6e6b2d33a79bf3
9	Combichrist	What the Fuck is Wrong With You People?	https://i.scdn.co/image/ab67616d0000b2733d563868b79be37365a5969e
9	Combichrist	One Fire	https://i.scdn.co/image/ab67616d0000b273ef847e5b1bd36856459bf2a2
10	Grendel	Outside (Toys You've Not Adored)	https://i.scdn.co/image/ab67616d0000b273d603eff4e28db028f152dbd9
10	Grendel	Harsh Generation	https://i.scdn.co/image/ab67616d0000b273a87f2c117b5d06b02bca5d2a
10	Grendel	Soilbleed	https://i.scdn.co/image/ab67616d0000b273d33c84ad5340c1901b5930dd
10	Grendel	Timewave : Zero	https://i.scdn.co/image/ab67616d0000b273567d11e01183981bb973a3c4
10	Grendel	Chemicals + Circuitry	https://i.scdn.co/image/ab67616d0000b27343d7d7d2ad6ee37f1be179f4
11	Agonoize	Apokalypse (Deluxe Edition)	https://i.scdn.co/image/ab67616d0000b27320488b3de659990b5667e599
11	Agonoize	For the Sick and Disturbed	https://i.scdn.co/image/ab67616d0000b273df3af368239bc90419b98857
11	Agonoize	Hexakosioihexekontahexa (Original Mix)	https://i.scdn.co/image/ab67616d0000b273bd3a81c9d5df3d879509fb07
11	Agonoize	Ultraviolent Six	https://i.scdn.co/image/ab67616d0000b273156c7a4b299c7bb378fb9d42
11	Agonoize	Reborn in Darkness - The Bloody Years 2003-2014: Vol. 1 - The Best Of	https://i.scdn.co/image/ab67616d0000b27364670b91469461e2fd0069d9
12	Behemoth	I Loved You at Your Darkest	https://i.scdn.co/image/ab67616d0000b273e58e3f2e4e661c23f0d4e8e6
12	Behemoth	Evangelion	https://i.scdn.co/image/ab67616d0000b273030c211808be74fd8c584d00
12	Behemoth	Opvs Contra Natvram	https://i.scdn.co/image/ab67616d0000b2730c72188d81aada38decb65f4
12	Behemoth	The Satanist	https://i.scdn.co/image/ab67616d0000b273e8faaaa9beaa1ceb9d85138e
12	Behemoth	Demigod	https://i.scdn.co/image/ab67616d0000b2737e267212cb60dbb632881307
13	Hocico	Ofensor (Deluxe Edition)	https://i.scdn.co/image/ab67616d0000b2737d4d8689f7976fdeaab33d11
13	Hocico	Tiempos de Furia (Deluxe)	https://i.scdn.co/image/ab67616d0000b2737408d27fc87979e2d561e9a2
13	Hocico	HyperViolent	https://i.scdn.co/image/ab67616d0000b273cf511d6e033d771272cec521
13	Hocico	Artificial Extinction	https://i.scdn.co/image/ab67616d0000b2732e92aad701b239a20d96dd86
13	Hocico	The Spell of the Spider	https://i.scdn.co/image/ab67616d0000b273f3b53e6f7de4b2225fdfba16
15	Dimmu Borgir	In Sorte Diaboli	https://i.scdn.co/image/ab67616d0000b273506db8d0c288b0533eb180a1
15	Dimmu Borgir	Eonian	https://i.scdn.co/image/ab67616d0000b2737c6158ec5efc695b90aa5dde
